id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,6,Barcelona 2010-2011,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,85.535
1,5,Manchester Utd 2010-2011,13.0,6.0,6.0,1.0,19.0,7.0,12.0,24.0,80.325
2,4,Real Madrid 2010-2011,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,71.583
3,4,Schalke 04 2010-2011,12.0,5.0,4.0,3.0,22.0,14.0,8.0,19.0,52.378
4,3,Shakhtar 2010-2011,10.0,6.0,2.0,2.0,19.0,14.0,5.0,20.0,49.083
5,3,Chelsea 2010-2011,10.0,6.0,1.0,3.0,17.0,7.0,10.0,19.0,39.157
6,3,Tottenham 2010-2011,12.0,4.0,5.0,3.0,25.0,19.0,6.0,17.0,34.986
7,3,Inter 2010-2011,10.0,4.0,1.0,5.0,18.0,21.0,-3.0,13.0,60.72
8,2,Bayern Munich 2010-2011,8.0,6.0,1.0,1.0,19.0,9.0,10.0,19.0,65.75
9,2,Arsenal 2010-2011,8.0,5.0,0.0,3.0,21.0,11.0,10.0,15.0,59.633
10,2,FC Copenhagen 2010-2011,12.0,3.0,5.0,4.0,12.0,11.0,1.0,14.0,35.102
11,2,Marseille 2010-2011,8.0,4.0,1.0,3.0,13.0,5.0,8.0,13.0,52.922
12,2,Valencia 2010-2011,8.0,3.0,3.0,2.0,17.0,8.0,9.0,12.0,32.412
13,2,Lyon 2010-2011,8.0,3.0,2.0,3.0,12.0,14.0,-2.0,11.0,36.881
14,2,Roma 2010-2011,8.0,3.0,1.0,4.0,12.0,17.0,-5.0,10.0,34.666
15,2,Milan 2010-2011,8.0,2.0,3.0,3.0,7.0,8.0,-1.0,9.0,60.11
16,1,Braga 2010-2011,10.0,6.0,0.0,4.0,14.0,16.0,-2.0,18.0,13.754
17,1,Hapoel Tel Aviv 2010-2011,12.0,4.0,4.0,4.0,20.0,15.0,5.0,16.0,12.711
18,1,Basel 2010-2011,10.0,5.0,1.0,4.0,17.0,12.0,5.0,16.0,36.746
19,1,Partizan 2010-2011,12.0,4.0,2.0,6.0,15.0,19.0,-4.0,14.0,24.595
20,1,Ajax 2010-2011,10.0,2.0,5.0,3.0,13.0,16.0,-3.0,11.0,47.581
21,1,Spartak Moscow 2010-2011,6.0,3.0,0.0,3.0,7.0,10.0,-3.0,9.0,51.739
22,1,Werder Bremen 2010-2011,8.0,2.0,2.0,4.0,11.0,16.0,-5.0,8.0,30.315
23,1,MŠK Žilina 2010-2011,12.0,1.0,4.0,7.0,13.0,22.0,-9.0,7.0,9.594
