id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
401,2,Manchester City 2023-2024,7.0,7.0,0.0,0.0,21.0,8.0,13.0,21.0,50.885
402,2,Real Madrid 2023-2024,7.0,7.0,0.0,0.0,17.0,7.0,10.0,21.0,69.093
403,2,Bayern Munich 2023-2024,7.0,5.0,1.0,1.0,12.0,7.0,5.0,16.0,75.0
404,2,Atlético Madrid 2023-2024,6.0,4.0,2.0,0.0,17.0,6.0,11.0,14.0,62.06
405,2,Arsenal 2023-2024,6.0,4.0,1.0,1.0,16.0,4.0,12.0,13.0,59.624
406,2,Lazio 2023-2024,7.0,4.0,1.0,2.0,8.0,7.0,1.0,13.0,47.701
407,2,Porto 2023-2024,6.0,4.0,0.0,2.0,15.0,8.0,7.0,12.0,47.555
408,2,Barcelona 2023-2024,6.0,4.0,0.0,2.0,12.0,6.0,6.0,12.0,41.977
409,2,Inter 2023-2024,6.0,3.0,3.0,0.0,8.0,5.0,3.0,12.0,69.136
410,2,Real Sociedad 2023-2024,7.0,3.0,3.0,1.0,7.0,4.0,3.0,12.0,35.942
411,2,RB Leipzig 2023-2024,7.0,4.0,0.0,3.0,13.0,11.0,2.0,12.0,43.949
412,2,Paris S-G 2023-2024,7.0,3.0,2.0,2.0,11.0,8.0,3.0,11.0,46.553
413,2,Dortmund 2023-2024,6.0,3.0,2.0,1.0,7.0,4.0,3.0,11.0,81.365
414,2,Napoli 2023-2024,6.0,3.0,1.0,2.0,10.0,9.0,1.0,10.0,43.98
415,2,PSV Eindhoven 2023-2024,6.0,2.0,3.0,1.0,8.0,10.0,-2.0,9.0,34.469
416,2,FC Copenhagen 2023-2024,7.0,2.0,2.0,3.0,9.0,11.0,-2.0,8.0,35.592
417,1,Shakhtar 2023-2024,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,47.695
418,1,Milan 2023-2024,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,72.212
419,1,Lens 2023-2024,6.0,2.0,2.0,2.0,6.0,11.0,-5.0,8.0,37.543
420,1,Feyenoord 2023-2024,6.0,2.0,0.0,4.0,9.0,10.0,-1.0,6.0,44.01
421,1,Newcastle Utd 2023-2024,6.0,1.0,2.0,3.0,6.0,7.0,-1.0,5.0,52.023
422,1,Galatasaray 2023-2024,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,50.14
423,1,Manchester Utd 2023-2024,6.0,1.0,1.0,4.0,12.0,15.0,-3.0,4.0,73.175
424,1,Benfica 2023-2024,6.0,1.0,1.0,4.0,7.0,11.0,-4.0,4.0,56.621
425,1,RB Salzburg 2023-2024,6.0,1.0,1.0,4.0,4.0,8.0,-4.0,4.0,28.477
426,1,Young Boys 2023-2024,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,31.5
427,1,Braga 2023-2024,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,21.366
428,1,Celtic 2023-2024,6.0,1.0,1.0,4.0,5.0,15.0,-10.0,4.0,56.099
429,1,Antwerp 2023-2024,6.0,1.0,0.0,5.0,6.0,17.0,-11.0,3.0,13.57
430,1,Union Berlin 2023-2024,6.0,0.0,2.0,4.0,6.0,10.0,-4.0,2.0,72.976
431,1,Sevilla 2023-2024,6.0,0.0,2.0,4.0,7.0,12.0,-5.0,2.0,34.181
432,1,Red Star 2023-2024,6.0,0.0,1.0,5.0,7.0,15.0,-8.0,1.0,46.202
