id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
0,6,Barcelona 2010-2011,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,85.535,Lionel Messi-,Víctor Valdés
35,4,Barcelona 2011-2012,12.0,6.0,5.0,1.0,35.0,10.0,25.0,23.0,77.953,Lionel Messi-,Víctor Valdés
67,4,Barcelona 2012-2013,12.0,4.0,5.0,3.0,18.0,17.0,1.0,17.0,81.477,Lionel Messi-,Víctor Valdés
101,3,Barcelona 2013-2014,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,76.033,Lionel Messi-,Víctor Valdés
128,6,Barcelona 2014-2015,13.0,11.0,0.0,2.0,31.0,11.0,20.0,33.0,89.813,"Lionel Messi,Neymar-",Marc-André ter Stegen
164,3,Barcelona 2015-2016,10.0,7.0,2.0,1.0,22.0,8.0,14.0,23.0,74.651,Luis Suárez-,Marc-André ter Stegen
196,3,Barcelona 2016-2017,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85.863,Lionel Messi-,Marc-André ter Stegen
227,3,Barcelona 2017-2018,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,73.861,Lionel Messi-,Marc-André ter Stegen
257,4,Barcelona 2018-2019,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,86.178,Lionel Messi-,Marc-André ter Stegen
292,3,Barcelona 2019-2020,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,60.809,Luis Suárez-,Marc-André ter Stegen
355,1,Barcelona 2021-2022,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,45.092,"Gerard Piqué,Ansu Fati-",Marc-André ter Stegen
384,1,Barcelona 2022-2023,6.0,2.0,1.0,3.0,12.0,12.0,0.0,7.0,84.576,Robert Lewandowski-,Marc-André ter Stegen
