id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
8,2,Bayern Munich 2010-2011,8.0,6.0,1.0,1.0,19.0,9.0,10.0,19.0,65.75,Mario Gómez-,"Hans-Jörg Butt,Thomas Kraft"
33,5,Bayern Munich 2011-2012,15.0,8.0,4.0,3.0,29.0,11.0,18.0,28.0,71.5,Mario Gómez-,Manuel Neuer
64,6,Bayern Munich 2012-2013,13.0,10.0,2.0,1.0,31.0,11.0,20.0,32.0,73.667,Thomas Müller-,Manuel Neuer
98,4,Bayern Munich 2013-2014,12.0,6.0,4.0,2.0,24.0,13.0,11.0,22.0,67.883,Thomas Müller-,Manuel Neuer
131,4,Bayern Munich 2014-2015,12.0,8.0,1.0,3.0,33.0,13.0,20.0,25.0,69.0,Thomas Müller-,Manuel Neuer
162,4,Bayern Munich 2015-2016,12.0,8.0,2.0,2.0,30.0,11.0,19.0,26.0,70.0,Robert Lewandowski-,Manuel Neuer
197,3,Bayern Munich 2016-2017,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,70.0,Robert Lewandowski-,Manuel Neuer
225,4,Bayern Munich 2017-2018,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,70.0,Robert Lewandowski-,Sven Ulreich
264,2,Bayern Munich 2018-2019,8.0,4.0,3.0,1.0,16.0,8.0,8.0,15.0,69.536,Robert Lewandowski-,Manuel Neuer
287,6,Bayern Munich 2019-2020,11.0,11.0,0.0,0.0,43.0,8.0,35.0,33.0,50.0,Robert Lewandowski-,Manuel Neuer
340,3,Bayern Munich 2021-2022,10.0,7.0,2.0,1.0,31.0,7.0,24.0,23.0,34.0,Robert Lewandowski-,Manuel Neuer
372,3,Bayern Munich 2022-2023,10.0,8.0,1.0,1.0,22.0,6.0,16.0,25.0,75.0,"Leroy Sané,Eric Maxim Choupo-Moting-",Yann Sommer
