id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
27,1,Benfica 2010-2011,6.0,2.0,0.0,4.0,7.0,12.0,-5.0,6.0,28.62,"Fábio Coentrão,Luisão-",Roberto
36,3,Benfica 2011-2012,14.0,4.0,7.0,3.0,21.0,14.0,7.0,19.0,49.431,Óscar Cardozo-,Artur Moraes
87,1,Benfica 2012-2013,6.0,2.0,2.0,2.0,5.0,5.0,0.0,8.0,49.12,Óscar Cardozo-,Artur Moraes
118,1,Benfica 2013-2014,6.0,3.0,1.0,2.0,8.0,8.0,0.0,10.0,30.847,"Filip Đuričić,Nicolás Gaitán... -",Artur Moraes
156,1,Benfica 2014-2015,6.0,1.0,2.0,3.0,2.0,6.0,-4.0,5.0,28.474,"Eduardo Salvio,Talisca-",Júlio César
167,3,Benfica 2015-2016,10.0,5.0,2.0,3.0,15.0,12.0,3.0,17.0,45.581,Nicolás Gaitán-,Júlio César
206,2,Benfica 2016-2017,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,51.131,Eduardo Salvio-,Ederson
254,1,Benfica 2017-2018,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,39.492,Haris Seferović-,Mile Svilar
275,1,Benfica 2018-2019,6.0,2.0,1.0,3.0,6.0,11.0,-5.0,7.0,48.412,Álex Grimaldo-,Odisseas Vlachodimos
306,1,Benfica 2019-2020,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,46.576,Pizzi-,Odisseas Vlachodimos
342,3,Benfica 2021-2022,10.0,3.0,4.0,3.0,14.0,17.0,-3.0,13.0,47.128,Darwin Núñez-,Odisseas Vlachodimos
374,3,Benfica 2022-2023,10.0,6.0,3.0,1.0,26.0,13.0,13.0,21.0,60.222,João Mário-,Odisseas Vlachodimos
