id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
5,3,Chelsea 2010-2011,10.0,6.0,1.0,3.0,17.0,7.0,10.0,19.0,39.157,Nicolas Anelka-,Petr Čech
32,6,Chelsea 2011-2012,13.0,5.0,6.0,2.0,25.0,12.0,13.0,21.0,40.902,Didier Drogba-,Petr Čech
85,1,Chelsea 2012-2013,6.0,3.0,1.0,2.0,16.0,10.0,6.0,10.0,40.689,Oscar-,Petr Čech
99,4,Chelsea 2013-2014,12.0,4.0,5.0,3.0,19.0,10.0,9.0,17.0,39.531,Fernando Torres-,Petr Čech
138,2,Chelsea 2014-2015,8.0,4.0,4.0,0.0,20.0,6.0,14.0,16.0,39.851,Eden Hazard-,Thibaut Courtois
169,2,Chelsea 2015-2016,8.0,4.0,1.0,3.0,15.0,7.0,8.0,13.0,40.153,Willian-,Asmir Begović
237,2,Chelsea 2017-2018,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,40.218,"Eden Hazard,Willian-",Thibaut Courtois
301,2,Chelsea 2019-2020,8.0,3.0,2.0,3.0,12.0,16.0,-4.0,11.0,38.845,Tammy Abraham-,Kepa Arrizabalaga
319,6,Chelsea 2020-2021,13.0,9.0,3.0,1.0,23.0,4.0,19.0,30.0,0.333,Olivier Giroud-,Edouard Mendy
341,3,Chelsea 2021-2022,10.0,7.0,1.0,2.0,21.0,10.0,11.0,22.0,39.076,Timo Werner-,Edouard Mendy
375,3,Chelsea 2022-2023,10.0,5.0,1.0,4.0,12.0,9.0,3.0,16.0,39.216,Raheem Sterling-,Kepa Arrizabalaga
