id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
61,1,Dortmund 2011-2012,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,65.59,"Jakub Błaszczykowski,Shinji Kagawa... -",Roman Weidenfeller
65,5,Dortmund 2012-2013,13.0,5.0,6.0,2.0,24.0,14.0,10.0,21.0,71.239,Robert Lewandowski-,Roman Weidenfeller
103,3,Dortmund 2013-2014,10.0,5.0,2.0,3.0,18.0,13.0,5.0,17.0,65.829,Robert Lewandowski-,Roman Weidenfeller
139,2,Dortmund 2014-2015,8.0,4.0,1.0,3.0,15.0,9.0,6.0,13.0,65.851,Ciro Immobile-,Roman Weidenfeller
198,3,Dortmund 2016-2017,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,63.698,Pierre-Emerick Aubameyang-,Roman Bürki
249,1,Dortmund 2017-2018,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,65.402,Pierre-Emerick Aubameyang-,Roman Bürki
267,2,Dortmund 2018-2019,8.0,4.0,1.0,3.0,10.0,6.0,4.0,13.0,66.099,Raphaël Guerreiro-,Roman Bürki
298,2,Dortmund 2019-2020,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,65.844,Achraf Hakimi-,Roman Bürki
352,1,Dortmund 2021-2022,6.0,3.0,0.0,3.0,10.0,11.0,-1.0,9.0,31.607,"Marco Reus,Donyell Malen... -",Gregor Kobel
380,2,Dortmund 2022-2023,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,78.516,Jude Bellingham-,Alexander Meyer
