id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
70,3,Juventus 2012-2013,10.0,4.0,5.0,1.0,17.0,8.0,9.0,17.0,36.047,Fabio Quagliarella-,Gianluigi Buffon
121,1,Juventus 2013-2014,6.0,1.0,3.0,2.0,9.0,9.0,0.0,6.0,36.469,Arturo Vidal-,Gianluigi Buffon
129,5,Juventus 2014-2015,13.0,7.0,3.0,3.0,17.0,10.0,7.0,24.0,35.985,Carlos Tevez-,Gianluigi Buffon
171,2,Juventus 2015-2016,8.0,3.0,3.0,2.0,10.0,9.0,1.0,12.0,39.241,"Álvaro Morata,Mario Mandžukić-",Gianluigi Buffon
193,5,Juventus 2016-2017,13.0,9.0,3.0,1.0,22.0,6.0,16.0,30.0,33.642,Gonzalo Higuaín-,Gianluigi Buffon
229,3,Juventus 2017-2018,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,38.541,Gonzalo Higuaín-,Gianluigi Buffon
261,3,Juventus 2018-2019,10.0,5.0,1.0,4.0,14.0,9.0,5.0,16.0,40.766,Cristiano Ronaldo-,Wojciech Szczęsny
295,2,Juventus 2019-2020,8.0,6.0,1.0,1.0,14.0,6.0,8.0,19.0,28.39,Cristiano Ronaldo-,Wojciech Szczęsny
345,2,Juventus 2021-2022,8.0,5.0,1.0,2.0,11.0,10.0,1.0,16.0,21.968,Paulo Dybala-,Wojciech Szczęsny
394,1,Juventus 2022-2023,6.0,1.0,0.0,5.0,9.0,13.0,-4.0,3.0,34.534,"Adrien Rabiot,Arkadiusz Milik... -",Wojciech Szczęsny
