id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
50,1,Manchester City 2011-2012,6.0,3.0,1.0,2.0,9.0,6.0,3.0,10.0,44.451,Yaya Touré-,Joe Hart
93,1,Manchester City 2012-2013,6.0,0.0,3.0,3.0,7.0,11.0,-4.0,3.0,43.206,Sergio Agüero-,Joe Hart
106,2,Manchester City 2013-2014,8.0,5.0,0.0,3.0,19.0,14.0,5.0,15.0,43.372,Sergio Agüero-,Joe Hart
142,2,Manchester City 2014-2015,8.0,2.0,2.0,4.0,10.0,11.0,-1.0,8.0,43.06,Sergio Agüero-,Joe Hart
163,4,Manchester City 2015-2016,12.0,6.0,3.0,3.0,18.0,12.0,6.0,21.0,47.779,"Kevin De Bruyne,Raheem Sterling-",Joe Hart
203,2,Manchester City 2016-2017,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,47.065,Sergio Agüero-,Willy Caballero
228,3,Manchester City 2017-2018,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,48.05,"Gabriel Jesus,Raheem Sterling... -",Ederson
259,3,Manchester City 2018-2019,10.0,7.0,1.0,2.0,30.0,12.0,18.0,22.0,49.535,Sergio Agüero-,Ederson
291,3,Manchester City 2019-2020,9.0,6.0,2.0,1.0,21.0,9.0,12.0,20.0,37.594,"Raheem Sterling,Gabriel Jesus-",Ederson
320,5,Manchester City 2020-2021,13.0,11.0,1.0,1.0,25.0,5.0,20.0,34.0,2.016,"Riyad Mahrez,Ferrán Torres-",Ederson
338,4,Manchester City 2021-2022,12.0,7.0,2.0,3.0,29.0,16.0,13.0,23.0,49.295,Riyad Mahrez-,Ederson
368,6,Manchester City 2022-2023,13.0,8.0,5.0,0.0,32.0,5.0,27.0,29.0,63.639,Erling Haaland-,Ederson
