id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
68,3,Paris S-G 2012-2013,10.0,6.0,3.0,1.0,20.0,8.0,12.0,21.0,43.868,Ezequiel Lavezzi-,Salvatore Sirigu
100,3,Paris S-G 2013-2014,10.0,6.0,2.0,2.0,25.0,9.0,16.0,20.0,44.68,Zlatan Ibrahimović-,Salvatore Sirigu
135,3,Paris S-G 2014-2015,10.0,4.0,3.0,3.0,14.0,15.0,-1.0,15.0,46.077,Edinson Cavani-,Salvatore Sirigu
166,3,Paris S-G 2015-2016,10.0,6.0,2.0,2.0,18.0,6.0,12.0,20.0,46.322,Zlatan Ibrahimović-,Kevin Trapp
200,2,Paris S-G 2016-2017,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,45.516,Edinson Cavani-,Alphonse Areola
233,2,Paris S-G 2017-2018,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,46.382,Edinson Cavani-,Alphonse Areola
266,2,Paris S-G 2018-2019,8.0,4.0,2.0,2.0,20.0,12.0,8.0,14.0,45.144,Neymar-,Gianluigi Buffon
288,5,Paris S-G 2019-2020,11.0,8.0,1.0,2.0,25.0,6.0,19.0,25.0,28.058,"Mauro Icardi,Kylian Mbappé-",Keylor Navas
346,2,Paris S-G 2021-2022,8.0,4.0,2.0,2.0,15.0,11.0,4.0,14.0,44.911,Kylian Mbappé-,Gianluigi Donnarumma
377,2,Paris S-G 2022-2023,8.0,4.0,2.0,2.0,16.0,10.0,6.0,14.0,46.68,Kylian Mbappé-,Gianluigi Donnarumma
