id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
55,1,Porto 2011-2012,6.0,2.0,2.0,2.0,7.0,7.0,0.0,8.0,38.545,Hulk-,Helton Arruda
73,2,Porto 2012-2013,8.0,5.0,1.0,2.0,11.0,6.0,5.0,16.0,33.909,Jackson Martínez-,Helton Arruda
122,1,Porto 2013-2014,6.0,1.0,2.0,3.0,4.0,7.0,-3.0,5.0,29.969,"Lucho González,Jackson Martínez-",Helton Arruda
132,3,Porto 2014-2015,12.0,8.0,3.0,1.0,28.0,12.0,16.0,27.0,35.865,Jackson Martínez-,Fabiano
183,1,Porto 2015-2016,6.0,3.0,1.0,2.0,9.0,8.0,1.0,10.0,37.516,Vincent Aboubakar-,Iker Casillas
204,2,Porto 2016-2017,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,38.794,André Silva-,Iker Casillas
238,2,Porto 2017-2018,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,43.568,Vincent Aboubakar-,José Sá
260,3,Porto 2018-2019,10.0,6.0,1.0,3.0,20.0,15.0,5.0,19.0,43.415,Moussa Marega-,Iker Casillas
321,3,Porto 2020-2021,10.0,6.0,1.0,3.0,15.0,9.0,6.0,19.0,0.49,Sérgio Oliveira-,Agustín Marchesín
361,1,Porto 2021-2022,6.0,1.0,2.0,3.0,4.0,11.0,-7.0,5.0,31.493,Luis Díaz-,Diogo Costa
378,2,Porto 2022-2023,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,44.296,Mehdi Taremi-,Diogo Costa
