id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
2,4,Real Madrid 2010-2011,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,71.583,"Karim Benzema,Cristiano Ronaldo-",Iker Casillas
34,4,Real Madrid 2011-2012,12.0,7.0,4.0,1.0,35.0,9.0,26.0,25.0,67.644,Cristiano Ronaldo-,Iker Casillas
66,4,Real Madrid 2012-2013,12.0,5.0,4.0,3.0,26.0,18.0,8.0,19.0,71.313,Cristiano Ronaldo-,Diego López
96,6,Real Madrid 2013-2014,13.0,10.0,2.0,1.0,41.0,10.0,31.0,32.0,78.426,Cristiano Ronaldo-,Iker Casillas
130,4,Real Madrid 2014-2015,12.0,8.0,2.0,2.0,24.0,9.0,15.0,26.0,71.579,Cristiano Ronaldo-,Iker Casillas
160,6,Real Madrid 2015-2016,13.0,9.0,3.0,1.0,28.0,6.0,22.0,30.0,72.831,Cristiano Ronaldo-,Keylor Navas
192,6,Real Madrid 2016-2017,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,75.547,Cristiano Ronaldo-,Keylor Navas
223,6,Real Madrid 2017-2018,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,75.398,Cristiano Ronaldo-,Keylor Navas
265,2,Real Madrid 2018-2019,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,66.314,Karim Benzema-,Thibaut Courtois
299,2,Real Madrid 2019-2020,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,70.438,Karim Benzema-,Thibaut Courtois
336,6,Real Madrid 2021-2022,13.0,9.0,0.0,4.0,29.0,14.0,15.0,27.0,48.111,Karim Benzema-,Thibaut Courtois
370,4,Real Madrid 2022-2023,12.0,8.0,2.0,2.0,26.0,13.0,13.0,26.0,58.761,Vinicius Júnior-,Thibaut Courtois
