id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
4,3,Shakhtar 2010-2011,10.0,6.0,2.0,2.0,19.0,14.0,5.0,20.0,49.083,"Eduardo da Silva,Luiz Adriano-",Andriy Pyatov
60,1,Shakhtar 2011-2012,6.0,1.0,2.0,3.0,6.0,8.0,-2.0,5.0,46.719,Luiz Adriano-,Oleksandr Rybka
78,2,Shakhtar 2012-2013,8.0,3.0,2.0,3.0,14.0,13.0,1.0,11.0,49.101,Willian-,Andriy Pyatov
119,1,Shakhtar 2013-2014,6.0,2.0,2.0,2.0,7.0,6.0,1.0,8.0,48.672,Alex Teixeira-,Andriy Pyatov
141,2,Shakhtar 2014-2015,8.0,2.0,4.0,2.0,15.0,11.0,4.0,10.0,32.516,Luiz Adriano-,Andriy Pyatov
182,1,Shakhtar 2015-2016,10.0,3.0,2.0,5.0,13.0,16.0,-3.0,11.0,30.144,Alex Teixeira-,Andriy Pyatov
235,2,Shakhtar 2017-2018,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,33.652,"Facundo Ferreyra,Bernard-",Andriy Pyatov
278,1,Shakhtar 2018-2019,6.0,1.0,3.0,2.0,8.0,16.0,-8.0,6.0,34.786,Júnior Moraes-,Andriy Pyatov
309,1,Shakhtar 2019-2020,6.0,1.0,3.0,2.0,8.0,13.0,-5.0,6.0,28.246,"Júnior Moraes,Manor Solomon-",Andriy Pyatov
325,1,Shakhtar 2020-2021,6.0,2.0,2.0,2.0,5.0,12.0,-7.0,8.0,3.393,Manor Solomon-,Anatolii Trubin
364,1,Shakhtar 2021-2022,6.0,0.0,2.0,4.0,2.0,12.0,-10.0,2.0,22.349,Fernando-,Anatolii Trubin
387,1,Shakhtar 2022-2023,6.0,1.0,3.0,2.0,8.0,10.0,-2.0,6.0,25.257,Mykhailo Mudryk-,Anatolii Trubin
