Squad,Prediction
Atlético Madrid 2023-2024,15.95
Bayern Munich 2023-2024,13.62
Manchester City 2023-2024,11.63
Inter 2023-2024,9.63
Real Madrid 2023-2024,8.31
Paris S-G 2023-2024,6.98
Real Sociedad 2023-2024,4.32
Lazio 2023-2024,3.99
RB Leipzig 2023-2024,3.32
Porto 2023-2024,3.32
FC Copenhagen 2023-2024,2.99
Barcelona 2023-2024,2.66
Arsenal 2023-2024,2.66
Dortmund 2023-2024,2.33
Napoli 2023-2024,1.99
Manchester Utd 2023-2024,1.99
PSV Eindhoven 2023-2024,1.33
Shakhtar 2023-2024,1.0
Milan 2023-2024,0.66
Sevilla 2023-2024,0.33
Celtic 2023-2024,0.33
Benfica 2023-2024,0.33
RB Salzburg 2023-2024,0.33
Red Star 2023-2024,0.0
Union Berlin 2023-2024,0.0
Antwerp 2023-2024,0.0
Newcastle Utd 2023-2024,0.0
Lens 2023-2024,0.0
Galatasaray 2023-2024,0.0
Feyenoord 2023-2024,0.0
Braga 2023-2024,0.0
Young Boys 2023-2024,0.0
