POS,Jugadores,TT,TG,GA,PREC,G/C,LL,LL,FDL
01,Kylian Mbappé,43,23,8,53.4884,5.3750,35,42,17
02,Harry Kane,28,13,7,46.4286,4.0000,37,10,4
03,Antoine Griezmann,22,10,6,45.4545,3.6667,55,72,0
04,Erling Haaland,43,22,6,51.1628,7.1667,3,9,1
05,Álvaro Morata,25,10,5,40.0000,5.0000,8,2,3
06,Wenderson Rodrigues do Nascimento Galeno,16,11,5,68.7500,3.2000,11,30,1
07,Phil Foden,33,12,5,36.3636,6.6000,30,38,1
08,Julián Álvarez,15,10,5,66.6667,3.0000,15,25,0
09,Rodrygo Silva de Goes,32,17,5,53.1250,6.4000,24,16,2
10,Rasmus Højlund,11,6,5,54.5455,2.2000,4,3,1
11,Francisco Evanilson de Lima Barbosa,14,7,4,50.0000,3.5000,8,9,3
12,Loïs Openda,29,9,4,31.0345,7.2500,5,8,7
13,Danylo Sikan,11,7,4,63.6364,2.7500,7,4,5
14,Leandro Trossard,9,6,4,66.6667,2.2500,12,19,1
15,Bukayo Saka,13,6,4,46.1538,3.2500,9,37,3
16,Gabriel Fernando de Jesus,15,8,4,53.3333,3.7500,6,5,1
17,Jude Bellingham,20,7,4,35.0000,5.0000,54,18,0
18,Ciro Immobile,10,5,4,50.0000,2.5000,10,5,5
19,João Mário Naval da Costa Eduardo,7,3,3,42.8571,2.3333,14,9,0
20,Samuel Dias Lino,18,8,3,44.4444,6.0000,5,14,2
21,João Félix Sequeira,17,7,3,41.1765,5.6667,9,18,1
22,Robert Lewandowski,22,10,3,45.4545,7.3333,19,16,5
23,Raphael Dias Belloli,24,13,3,54.1667,8.0000,12,25,0
24,Ferran Torres,11,4,3,36.3636,3.6667,12,20,2
25,Mohamed Elyounoussi,17,8,3,47.0588,5.6667,13,17,1
26,Lukas Lerager,6,4,3,66.6667,2.0000,22,7,2
27,José Luis Sanmartín Mato,28,7,3,25.0000,9.3333,3,5,2
28,Brais Méndez,14,6,3,42.8571,4.6667,32,19,1
29,Vinícius José Paixão de Oliveira Júnior,18,6,3,33.3333,6.0000,14,17,6
30,Luuk de Jong,23,7,3,30.4348,7.6667,17,4,1
31,Sheraldo Becker,11,7,2,63.6364,5.5000,5,26,5
32,Xavi Simons,18,7,2,38.8889,9.0000,32,40,0
33,Oscar Gloukh,7,4,2,57.1429,3.5000,23,19,1
34,Sergio Ramos,8,2,2,25.0000,4.0000,28,4,2
35,Nemanja Gudelj,4,3,2,75.0000,2.0000,32,1,1
36,Benjamin Sesko,15,8,2,53.3333,7.5000,5,5,5
37,Youssef En-Nesyri,10,5,2,50.0000,5.0000,7,5,4
38,Fermín López,11,3,2,27.2727,5.5000,17,10,1
39,João Pedro Cavaco Cancelo,11,5,2,45.4545,5.5000,76,26,0
40,Alexis Sánchez,3,3,2,100.0000,1.5000,14,17,3
41,Lautaro Martínez,34,13,2,38.2353,17.0000,13,4,1
42,Marko Arnautovic,7,3,2,42.8571,3.5000,1,2,2
43,Mehdi Taremi,22,9,2,40.9091,11.0000,21,11,4
44,Képler Laveran de Lima Ferreira,3,2,2,66.6667,1.5000,52,8,1
45,Diogo António Cupido Gonçalves,12,4,2,33.3333,6.0000,14,28,0
46,Armindo Tué Na Bangna,12,5,2,41.6667,6.0000,15,17,1
47,Luis Palma,6,6,2,100.0000,3.0000,6,21,2
48,Bernardo Mota Veiga de Carvalho e Silva,17,4,2,23.5294,8.5000,18,20,0
49,Kyogo Furuhashi,10,5,2,50.0000,5.0000,6,1,1
50,Manuel Akanji,5,2,2,40.0000,2.5000,58,11,0
