POS,Jugadores,PA,PF,PT,P CP,P CR,P ZA,CT,CC
01,Rúben dos Santos Gato Alves Dias,696,29,725,346,350,105,1,0
02,Rodrigo Hernández Cascante,590,52,642,185,405,205,2,0
03,Joshua Kimmich,566,58,624,273,308,180,46,15
04,William Saliba,534,63,597,373,161,56,0,0
05,Mario Hermoso,523,82,605,308,218,111,16,3
06,Liam Scales,519,62,581,410,109,37,2,0
07,Achraf Hakimi,513,85,598,212,304,210,17,3
08,Dávid Hancko,513,48,561,375,138,67,0,0
09,Jorge Resurrección Merodio,511,48,559,240,272,147,4,1
10,Dayot Upamecano,505,37,542,291,214,86,0,0
11,Gabriel dos Santos Magalhães,505,57,562,359,146,61,0,0
12,Toni Kroos,485,24,509,235,258,124,26,8
13,Axel Witsel,468,22,490,308,160,53,0,0
14,Min-Jae Kim,468,34,502,348,120,37,0,0
15,Milan Skriniar,466,32,498,312,154,45,0,0
16,Ilkay Gündogan,462,37,499,151,323,183,37,12
17,Declan Rice,444,55,499,238,208,114,11,2
18,Manuel Akanji,437,20,457,245,192,67,0,0
19,Marcos Aoás Corrêa,425,44,469,309,116,58,0,0
20,José Ignacio Fernández Iglesias,418,20,438,294,124,34,0,0
21,Lucas Hernández,413,45,458,220,194,97,7,1
22,Leon Goretzka,403,31,434,182,221,108,0,0
23,Képler Laveran de Lima Ferreira,400,63,463,269,131,67,0,0
24,Nathan Aké,399,13,412,163,238,105,3,2
25,Lutsharel Geertruida,399,31,430,211,188,84,3,0
26,Jules Koundé,397,48,445,237,161,83,4,1
27,Stefan de Vrij,395,27,422,290,105,33,0,0
28,João Pedro Cavaco Cancelo,389,48,437,155,240,152,22,6
29,Amir Rrahmani,389,49,438,282,107,32,0,0
30,Vítor Machado Ferreira,388,32,420,176,215,131,14,3
31,Giovanni Di Lorenzo,388,75,463,177,211,131,19,0
32,Martín Zubimendi,387,54,441,178,209,107,1,0
33,Luis Alberto Romero Alconchel,384,67,451,164,232,166,43,12
34,Josko Gvardiol,381,21,402,148,233,114,2,0
35,Stanislav Lobotka,380,33,413,202,178,76,0,0
36,Igor Zubeldia,373,56,429,258,115,43,0,0
37,Federico Valverde,363,35,398,139,224,119,6,0
38,Castello Lukeba,362,39,401,273,89,31,0,0
39,Hakan Çalhanoglu,361,48,409,208,164,88,23,11
40,Nahuel Molina,355,97,452,178,183,124,31,6
41,Olivier Boscagli,355,82,437,219,136,88,1,0
42,Kevin Diks,340,34,374,210,130,57,0,0
43,Mats Hummels,338,65,403,230,108,46,1,0
44,Ronald Araujo,336,51,387,212,124,67,0,0
45,Antonio Rüdiger,334,35,369,242,92,36,0,0
46,Alessio Romagnoli,332,32,364,237,95,24,0,0
47,Jerdy Schouten,332,34,366,175,157,68,0,0
48,Greg Taylor,331,60,391,186,147,94,5,2
49,Joey Veerman,331,81,412,130,215,146,36,14
50,Frank Anguissa,329,42,371,148,182,104,4,1
