id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
0,W,Real Madrid 2013-2014,13.0,10.0,2.0,1.0,41.0,10.0,31.0,32.0,78.426,Cristiano Ronaldo-,Iker Casillas
1,F,Atlético Madrid 2013-2014,13.0,7.0,5.0,1.0,26.0,10.0,16.0,26.0,43.994,Diego Costa-,Thibaut Courtois
2,SF,Bayern Munich 2013-2014,12.0,6.0,4.0,2.0,24.0,13.0,11.0,22.0,67.883,Thomas Müller-,Manuel Neuer
3,SF,Chelsea 2013-2014,12.0,4.0,5.0,3.0,19.0,10.0,9.0,17.0,39.531,Fernando Torres-,Petr Čech
4,QF,Paris S-G 2013-2014,10.0,6.0,2.0,2.0,25.0,9.0,16.0,20.0,44.68,Zlatan Ibrahimović-,Salvatore Sirigu
5,QF,Barcelona 2013-2014,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,76.033,Lionel Messi-,Víctor Valdés
6,QF,Manchester Utd 2013-2014,10.0,5.0,3.0,2.0,17.0,9.0,8.0,18.0,74.594,Robin van Persie-,David de Gea
7,QF,Dortmund 2013-2014,10.0,5.0,2.0,3.0,18.0,13.0,5.0,17.0,65.829,Robert Lewandowski-,Roman Weidenfeller
8,R16,Zenit 2013-2014,12.0,4.0,5.0,3.0,23.0,17.0,6.0,17.0,17.542,Hulk-,Yuri Lodygin
9,R16,Arsenal 2013-2014,10.0,5.0,2.0,3.0,14.0,8.0,6.0,17.0,59.864,"Olivier Giroud,Jack Wilshere... -",Wojciech Szczęsny
10,R16,Manchester City 2013-2014,8.0,5.0,0.0,3.0,19.0,14.0,5.0,15.0,43.372,Sergio Agüero-,Joe Hart
11,R16,Schalke 04 2013-2014,10.0,4.0,2.0,4.0,12.0,18.0,-6.0,14.0,53.973,Julian Draxler-,"Ralf Fährmann,Timo Hildebrand"
12,R16,Olympiacos 2013-2014,8.0,4.0,1.0,3.0,12.0,11.0,1.0,13.0,30.632,"Kostas Mitroglou,Chori Domínguez-",Roberto
13,R16,Milan 2013-2014,10.0,2.0,5.0,3.0,13.0,11.0,2.0,11.0,64.186,"Kaká,Mario Balotelli-",Christian Abbiati
14,R16,Leverkusen 2013-2014,8.0,3.0,1.0,4.0,10.0,16.0,-6.0,10.0,27.867,Simon Rolfes-,Bernd Leno
15,R16,Galatasaray 2013-2014,8.0,2.0,2.0,4.0,9.0,17.0,-8.0,8.0,44.71,Umut Bulut-,Fernando Muslera
16,GR,Viktoria Plzeň 2013-2014,12.0,6.0,1.0,5.0,26.0,24.0,2.0,19.0,10.88,"Daniel Kolář,Marek Bakoš... -",Matúš Kozáčik
17,GR,Basel 2013-2014,10.0,4.0,4.0,2.0,15.0,11.0,4.0,16.0,33.054,Mohamed Salah-,Yann Sommer
18,GR,Steaua 2013-2014,12.0,3.0,6.0,3.0,13.0,15.0,-2.0,15.0,37.081,"Federico Piovaccari,Leandro Tatu-",Ciprian Tătărușanu
19,GR,Austria Wien 2013-2014,10.0,3.0,4.0,3.0,10.0,13.0,-3.0,13.0,40.225,"Roman Kienast,Philipp Hosiner-",Heinz Lindner
20,GR,Napoli 2013-2014,6.0,4.0,0.0,2.0,10.0,9.0,1.0,12.0,42.98,Gonzalo Higuaín-,Pepe Reina
21,GR,Celtic 2013-2014,12.0,3.0,3.0,6.0,12.0,16.0,-4.0,12.0,58.488,"Beram Kayal,James Forrest... -",Fraser Forster
22,GR,Benfica 2013-2014,6.0,3.0,1.0,2.0,8.0,8.0,0.0,10.0,30.847,"Filip Đuričić,Nicolás Gaitán... -",Artur Moraes
23,GR,Shakhtar 2013-2014,6.0,2.0,2.0,2.0,7.0,6.0,1.0,8.0,48.672,Alex Teixeira-,Andriy Pyatov
24,GR,Ajax 2013-2014,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,54.866,Lasse Schöne-,Jasper Cillessen
25,GR,Juventus 2013-2014,6.0,1.0,3.0,2.0,9.0,9.0,0.0,6.0,36.469,Arturo Vidal-,Gianluigi Buffon
26,GR,Porto 2013-2014,6.0,1.0,2.0,3.0,4.0,7.0,-3.0,5.0,29.969,"Lucho González,Jackson Martínez-",Helton Arruda
27,GR,Real Sociedad 2013-2014,8.0,1.0,2.0,5.0,5.0,10.0,-5.0,5.0,28.3,Carlos Vela-,Claudio Bravo
28,GR,FC Copenhagen 2013-2014,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,36.656,"Nicolai Jørgensen,Daniel Braaten... -",Johan Wiland
29,GR,CSKA Moscow 2013-2014,6.0,1.0,0.0,5.0,8.0,17.0,-9.0,3.0,11.333,"Keisuke Honda,Seydou Doumbia... -",Igor Akinfeev
30,GR,Anderlecht 2013-2014,6.0,0.0,1.0,5.0,4.0,17.0,-13.0,1.0,17.054,"Massimo Bruno,Sacha Kljestan... -","Thomas Kaminski,Silvio Proto"
31,GR,Marseille 2013-2014,6.0,0.0,0.0,6.0,5.0,14.0,-9.0,0.0,38.275,André Ayew-,Steve Mandanda
