id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
0,SF,Real Madrid 2023-2024,11.0,7.0,4.0,0.0,24.0,14.0,10.0,25.0,21.2,15.1,6.1,0.55,72.017,"Vinicius Júnior,Rodrygo-",Andriy Lunin
1,SF,Bayern Munich 2023-2024,11.0,7.0,3.0,1.0,20.0,11.0,9.0,24.0,18.6,12.1,6.5,0.59,75.0,Harry Kane-,Manuel Neuer
2,SF,Dortmund 2023-2024,11.0,6.0,3.0,2.0,16.0,9.0,7.0,21.0,14.4,19.4,-5.0,-0.46,81.365,Niclas Füllkrug-,Gregor Kobel
3,SF,Paris S-G 2023-2024,11.0,5.0,2.0,4.0,19.0,14.0,5.0,17.0,21.2,12.6,8.7,0.79,46.736,Kylian Mbappé-,Gianluigi Donnarumma
4,QF,Manchester City 2023-2024,10.0,8.0,2.0,0.0,28.0,13.0,15.0,26.0,24.6,6.9,17.7,1.77,51.298,Erling Haaland-,Ederson
5,QF,Atlético Madrid 2023-2024,10.0,6.0,2.0,2.0,23.0,13.0,10.0,20.0,16.7,12.7,3.9,0.39,64.803,Antoine Griezmann-,Jan Oblak
6,QF,Barcelona 2023-2024,10.0,6.0,1.0,3.0,20.0,14.0,6.0,19.0,16.9,11.3,5.6,0.56,45.308,"Robert Lewandowski,Ferrán Torres... -",Marc-André ter Stegen
7,QF,Arsenal 2023-2024,10.0,5.0,2.0,3.0,19.0,8.0,11.0,17.0,13.4,8.5,4.9,0.49,59.87,"Leandro Trossard,Gabriel Jesus... -",David Raya
8,R16,Porto 2023-2024,8.0,5.0,0.0,3.0,16.0,9.0,7.0,15.0,11.4,7.7,3.7,0.46,47.944,Galeno-,Diogo Costa
9,R16,Inter 2023-2024,8.0,4.0,3.0,1.0,10.0,7.0,3.0,15.0,16.2,8.6,7.6,0.94,70.279,"Alexis Sánchez,Marko Arnautović... -",Yann Sommer
10,R16,RB Leipzig 2023-2024,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,12.2,10.7,1.5,0.19,43.949,Loïs Openda-,Janis Blaswich
11,R16,Lazio 2023-2024,8.0,4.0,1.0,3.0,8.0,10.0,-2.0,13.0,10.6,11.7,-1.1,-0.14,47.701,Ciro Immobile-,Ivan Provedel
12,R16,Real Sociedad 2023-2024,8.0,3.0,3.0,2.0,8.0,6.0,2.0,12.0,10.3,6.4,3.9,0.49,36.79,Brais Méndez-,Álex Remiro
13,R16,Napoli 2023-2024,8.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0,10.5,11.6,-1.1,-0.13,45.367,Victor Osimhen-,Alex Meret
14,R16,PSV Eindhoven 2023-2024,8.0,2.0,4.0,2.0,9.0,13.0,-4.0,10.0,11.0,11.0,0.0,0.0,34.589,Luuk de Jong-,Walter Benítez
15,R16,FC Copenhagen 2023-2024,8.0,2.0,2.0,4.0,10.0,14.0,-4.0,8.0,9.1,12.8,-3.7,-0.46,35.592,"Mohamed Elyounoussi,Lukas Lerager-",Kamil Grabara
16,GR,Shakhtar 2023-2024,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,7.4,10.9,-3.5,-0.58,47.695,Danylo Sikan-,Dmytro Riznyk
17,GR,Milan 2023-2024,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,9.6,7.7,1.9,0.32,72.212,Samuel Chukwueze-,Mike Maignan
18,GR,Lens 2023-2024,6.0,2.0,2.0,2.0,6.0,11.0,-5.0,8.0,6.1,7.5,-1.4,-0.23,37.543,"Angelo Fulgini,Elye Wahi-",Brice Samba
19,GR,Feyenoord 2023-2024,6.0,2.0,0.0,4.0,9.0,10.0,-1.0,6.0,10.6,8.0,2.6,0.43,44.01,Santiago Giménez-,Justin Bijlow
20,GR,Newcastle Utd 2023-2024,6.0,1.0,2.0,3.0,6.0,7.0,-1.0,5.0,5.9,12.3,-6.4,-1.07,52.023,"Dan Burn,Fabian Schär... -",Nick Pope
21,GR,Galatasaray 2023-2024,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,9.8,10.2,-0.4,-0.07,50.14,"Mauro Icardi,Hakim Ziyech... -",Fernando Muslera
22,GR,Manchester Utd 2023-2024,6.0,1.0,1.0,4.0,12.0,15.0,-3.0,4.0,10.5,11.4,-0.9,-0.15,73.175,Rasmus Højlund-,André Onana
23,GR,Benfica 2023-2024,6.0,1.0,1.0,4.0,7.0,11.0,-4.0,4.0,7.8,15.9,-8.1,-1.34,56.621,João Mário-,Anatolii Trubin
24,GR,RB Salzburg 2023-2024,6.0,1.0,1.0,4.0,4.0,8.0,-4.0,4.0,7.4,11.4,-3.9,-0.66,28.477,Oscar Gloukh-,Alexander Schlager
25,GR,Young Boys 2023-2024,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,6.4,15.3,-8.9,-1.48,31.5,Meschak Elia-,Anthony Racioppi
26,GR,Braga 2023-2024,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,8.3,10.0,-1.7,-0.28,21.366,"Bruma,Álvaro djaló-",Matheus
27,GR,Celtic 2023-2024,6.0,1.0,1.0,4.0,5.0,15.0,-10.0,4.0,4.9,11.7,-6.8,-1.13,56.099,"Kyogo Furuhashi,Luis Enrique Palma-",Joe Hart
28,GR,Antwerp 2023-2024,6.0,1.0,0.0,5.0,6.0,17.0,-11.0,3.0,6.2,11.1,-4.9,-0.81,13.57,"Vincent Janssen,Arbnor Muja... -",Jean Butez
29,GR,Union Berlin 2023-2024,6.0,0.0,2.0,4.0,6.0,10.0,-4.0,2.0,5.6,11.5,-5.9,-0.98,72.976,Sheraldo Becker-,Frederik Rønnow
30,GR,Sevilla 2023-2024,6.0,0.0,2.0,4.0,7.0,12.0,-5.0,2.0,5.9,10.8,-4.9,-0.81,34.181,"Sergio Ramos,Nemanja Gudelj... -",Marko Dmitrović
31,GR,Red Star 2023-2024,6.0,0.0,1.0,5.0,7.0,15.0,-8.0,1.0,8.7,14.8,-6.1,-1.02,46.202,Osman Bukari-,Omri Glazer
